Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,part_id,gpu_family,vram_gb_est,pcie_interface,required_psu_w_est,length_mm_est,power_connector_est,market_status,inference_confidence,price_krw_estimate,price_basis,price_currency,price_reference_date,data_warning,compatible_psu_ids,compatible_case_ids
GPU,,Nvidia,RTX 5090,1,183,1412,https://gpu.userbenchmark.com/Nvidia-RTX-5090/Rating/4180,GPU_0001,RTX 5090,32,PCIe x16,1000,360,16-pin 12V-2x6,current_or_recent,medium,6200000,model-family price anchor + brand premium heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,PSU_ATX_1000_009|PSU_ATX_1000_010|PSU_ATX_1200_011|PSU_ATX_1300_012|PSU_SFX_1000_016|PSU_ATX_1600_017|PSU_ATX_1200_018,CASE_ATX_002|CASE_ATX_004|CASE_ATX_005|CASE_ATX_006|CASE_ATX_007|CASE_ATX_008|CASE_EATX_014|CASE_EATX_015|CASE_ATX_016|CASE_ATX_017|CASE_ATX_019|CASE_ATX_020
GPU,ROG-ASTRAL-RTX5090-O32G-GAMING,Asus,Asus RTX 5090 32GB ROG Astral,1,183,1412,https://gpu.userbenchmark.com/Nvidia-RTX-5090/Rating/4180,GPU_0002,RTX 5090,32,PCIe x16,1000,360,16-pin 12V-2x6,current_or_recent,medium,6700000,model-family price anchor + brand premium heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,PSU_ATX_1000_009|PSU_ATX_1000_010|PSU_ATX_1200_011|PSU_ATX_1300_012|PSU_SFX_1000_016|PSU_ATX_1600_017|PSU_ATX_1200_018,CASE_ATX_002|CASE_ATX_004|CASE_ATX_005|CASE_ATX_006|CASE_ATX_007|CASE_ATX_008|CASE_EATX_014|CASE_EATX_015|CASE_ATX_016|CASE_ATX_017|CASE_ATX_019|CASE_ATX_020
GPU,G5090-32V3C,MSI,MSI RTX 5090 32GB Ventus 3X OC,1,183,1412,https://gpu.userbenchmark.com/Nvidia-RTX-5090/Rating/4180,GPU_0003,RTX 5090,32,PCIe x16,1000,360,16-pin 12V-2x6,current_or_recent,medium,6450000,model-family price anchor + brand premium heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,PSU_ATX_1000_009|PSU_ATX_1000_010|PSU_ATX_1200_011|PSU_ATX_1300_012|PSU_SFX_1000_016|PSU_ATX_1600_017|PSU_ATX_1200_018,CASE_ATX_002|CASE_ATX_004|CASE_ATX_005|CASE_ATX_006|CASE_ATX_007|CASE_ATX_008|CASE_EATX_014|CASE_EATX_015|CASE_ATX_016|CASE_ATX_017|CASE_ATX_019|CASE_ATX_020
GPU,GV-N5090AORUS M-32GD,Gigabyte,Gigabyte RTX 5090 32GB Aorus Master,1,183,1412,https://gpu.userbenchmark.com/Nvidia-RTX-5090/Rating/4180,GPU_0004,RTX 5090,32,PCIe x16,1000,360,16-pin 12V-2x6,current_or_recent,medium,6940000,model-family price anchor + brand premium heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,PSU_ATX_1000_009|PSU_ATX_1000_010|PSU_ATX_1200_011|PSU_ATX_1300_012|PSU_SFX_1000_016|PSU_ATX_1600_017|PSU_ATX_1200_018,CASE_ATX_002|CASE_ATX_004|CASE_ATX_005|CASE_ATX_006|CASE_ATX_007|CASE_ATX_008|CASE_EATX_014|CASE_EATX_015|CASE_ATX_016|CASE_ATX_017|CASE_ATX_019|CASE_ATX_020
GPU,,Nvidia,RTX 4090,2,155,121235,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136,GPU_0005,RTX 4090,24,PCIe x16,850,340,16-pin 12VHPWR,used_or_legacy,medium,3000000,model-family price anchor + brand premium heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,PSU_ATX_850_007|PSU_ATX_850_008|PSU_ATX_1000_009|PSU_ATX_1000_010|PSU_ATX_1200_011|PSU_ATX_1300_012|PSU_SFX_850_015|PSU_SFX_1000_016|PSU_ATX_1600_017|PSU_ATX_1200_018|PSU_ATX_850_020,CASE_ATX_002|CASE_ATX_003|CASE_ATX_004|CASE_ATX_005|CASE_ATX_006|CASE_ATX_007|CASE_ATX_008|CASE_EATX_014|CASE_EATX_015|CASE_ATX_016|CASE_ATX_017|CASE_ATX_019|CASE_ATX_020
GPU,GV-N4090GAMING OC-24GD,Gigabyte,Gigabyte RTX 4090 24GB Gaming OC,2,155,121235,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136,GPU_0006,RTX 4090,24,PCIe x16,850,340,16-pin 12VHPWR,used_or_legacy,medium,3120000,model-family price anchor + brand premium heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,PSU_ATX_850_007|PSU_ATX_850_008|PSU_ATX_1000_009|PSU_ATX_1000_010|PSU_ATX_1200_011|PSU_ATX_1300_012|PSU_SFX_850_015|PSU_SFX_1000_016|PSU_ATX_1600_017|PSU_ATX_1200_018|PSU_ATX_850_020,CASE_ATX_002|CASE_ATX_003|CASE_ATX_004|CASE_ATX_005|CASE_ATX_006|CASE_ATX_007|CASE_ATX_008|CASE_EATX_014|CASE_EATX_015|CASE_ATX_016|CASE_ATX_017|CASE_ATX_019|CASE_ATX_020
GPU,TUF-RTX4090-24G-GAMING,Asus,Asus RTX 4090 24GB TUF Gaming OC,2,155,121235,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136,GPU_0007,RTX 4090,24,PCIe x16,850,340,16-pin 12VHPWR,used_or_legacy,medium,3120000,model-family price anchor + brand premium heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,PSU_ATX_850_007|PSU_ATX_850_008|PSU_ATX_1000_009|PSU_ATX_1000_010|PSU_ATX_1200_011|PSU_ATX_1300_012|PSU_SFX_850_015|PSU_SFX_1000_016|PSU_ATX_1600_017|PSU_ATX_1200_018|PSU_ATX_850_020,CASE_ATX_002|CASE_ATX_003|CASE_ATX_004|CASE_ATX_005|CASE_ATX_006|CASE_ATX_007|CASE_ATX_008|CASE_EATX_014|CASE_EATX_015|CASE_ATX_016|CASE_ATX_017|CASE_ATX_019|CASE_ATX_020
GPU,GeForce RTX 4090 GAMING X TRIO 24G,MSI,MSI RTX 4090 24GB Gaming X Trio,2,155,121235,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136,GPU_0008,RTX 4090,24,PCIe x16,850,340,16-pin 12VHPWR,used_or_legacy,medium,3120000,model-family price anchor + brand premium heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,PSU_ATX_850_007|PSU_ATX_850_008|PSU_ATX_1000_009|PSU_ATX_1000_010|PSU_ATX_1200_011|PSU_ATX_1300_012|PSU_SFX_850_015|PSU_SFX_1000_016|PSU_ATX_1600_017|PSU_ATX_1200_018|PSU_ATX_850_020,CASE_ATX_002|CASE_ATX_003|CASE_ATX_004|CASE_ATX_005|CASE_ATX_006|CASE_ATX_007|CASE_ATX_008|CASE_EATX_014|CASE_EATX_015|CASE_ATX_016|CASE_ATX_017|CASE_ATX_019|CASE_ATX_020
GPU,RTX 4090 SUPRIM Liquid X 24G,MSI,MSI RTX 4090 24GB Suprim Liquid X,2,155,121235,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136,GPU_0009,RTX 4090,24,PCIe x16,850,340,16-pin 12VHPWR,used_or_legacy,medium,3240000,model-family price anchor + brand premium heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,PSU_ATX_850_007|PSU_ATX_850_008|PSU_ATX_1000_009|PSU_ATX_1000_010|PSU_ATX_1200_011|PSU_ATX_1300_012|PSU_SFX_850_015|PSU_SFX_1000_016|PSU_ATX_1600_017|PSU_ATX_1200_018|PSU_ATX_850_020,CASE_ATX_002|CASE_ATX_003|CASE_ATX_004|CASE_ATX_005|CASE_ATX_006|CASE_ATX_007|CASE_ATX_008|CASE_EATX_014|CASE_EATX_015|CASE_ATX_016|CASE_ATX_017|CASE_ATX_019|CASE_ATX_020
GPU,RTX 4090 SUPRIM X 24G,MSI,MSI RTX 4090 24GB Suprim X,2,155,121235,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136,GPU_0010,RTX 4090,24,PCIe x16,850,340,16-pin 12VHPWR,used_or_legacy,medium,3240000,model-family price anchor + brand premium heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,PSU_ATX_850_007|PSU_ATX_850_008|PSU_ATX_1000_009|PSU_ATX_1000_010|PSU_ATX_1200_011|PSU_ATX_1300_012|PSU_SFX_850_015|PSU_SFX_1000_016|PSU_ATX_1600_017|PSU_ATX_1200_018|PSU_ATX_850_020,CASE_ATX_002|CASE_ATX_003|CASE_ATX_004|CASE_ATX_005|CASE_ATX_006|CASE_ATX_007|CASE_ATX_008|CASE_EATX_014|CASE_EATX_015|CASE_ATX_016|CASE_ATX_017|CASE_ATX_019|CASE_ATX_020
