Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,part_id,memory_type,capacity_gb_total_est,speed_mhz_est,module_count_est,market_status,inference_confidence,price_krw_estimate,price_basis,price_currency,price_reference_date,data_warning,compatible_motherboard_ids
RAM,F5-6000J3040G32GX2-TZ5NR,G.SKILL,TZ/RJ/FX DDR5 6000 C30 2x32GB,1,243,11384,https://ram.userbenchmark.com/SpeedTest/1854082/G-Skill-Intl-F5-6000J3040G32G-2x315GB,RAM_0001,DDR5,64,6000,2,current_or_recent,medium,1400000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-6000J3040G32GX2-FX5,G.SKILL,TZ/RJ/FX DDR5 6000 C30 2x32GB,1,243,11384,https://ram.userbenchmark.com/SpeedTest/1854082/G-Skill-Intl-F5-6000J3040G32G-2x315GB,RAM_0002,DDR5,64,6000,2,current_or_recent,medium,1400000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-6000J3040G32GX2-TZ5N,G.SKILL,TZ/RJ/FX DDR5 6000 C30 2x32GB,1,243,11384,https://ram.userbenchmark.com/SpeedTest/1854082/G-Skill-Intl-F5-6000J3040G32G-2x315GB,RAM_0003,DDR5,64,6000,2,current_or_recent,medium,1400000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-6000J3040G32GX2-TZ5RS,G.SKILL,TZ/RJ/FX DDR5 6000 C30 2x32GB,1,243,11384,https://ram.userbenchmark.com/SpeedTest/1854082/G-Skill-Intl-F5-6000J3040G32G-2x315GB,RAM_0004,DDR5,64,6000,2,current_or_recent,medium,1400000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-6000J3040G32GX2-RS5K,G.SKILL,TZ/RJ/FX DDR5 6000 C30 2x32GB,1,243,11384,https://ram.userbenchmark.com/SpeedTest/1854082/G-Skill-Intl-F5-6000J3040G32G-2x315GB,RAM_0005,DDR5,64,6000,2,current_or_recent,medium,1400000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,CP2K16G64C32U5B,Crucial,Pro DDR5 6400 C32 2x16GB,2,231,1079,https://ram.userbenchmark.com/SpeedTest/2469124/Micron-CP16G64C32U5BM8H4-2x16GB,RAM_0006,DDR5,32,6400,2,current_or_recent,medium,700000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,CP2K16G64C32U5W,Crucial,Pro DDR5 6400 C32 2x16GB,2,231,1079,https://ram.userbenchmark.com/SpeedTest/2469124/Micron-CP16G64C32U5BM8H4-2x16GB,RAM_0007,DDR5,32,6400,2,current_or_recent,medium,700000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,CMH32GX5M2B6000Z30,Corsair,Vengeance RGB DDR5 6000 C30 2x16GB,3,229,23630,https://ram.userbenchmark.com/SpeedTest/1964162/Corsair-CMH32GX5M2B6000Z30-2x16GB,RAM_0008,DDR5,32,6000,2,current_or_recent,medium,700000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-6000J3038F16GX2-TZ5NR,G.SKILL,TZ/RJ/FX DDR5 6000 C30 2x16GB,4,225,26882,https://ram.userbenchmark.com/SpeedTest/1931932/Unknown-F5-6000J3038F16G-2x16GB,RAM_0009,DDR5,32,6000,2,current_or_recent,medium,700000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-6000J3038F16GX2-FX5,G.SKILL,TZ/RJ/FX DDR5 6000 C30 2x16GB,4,225,26882,https://ram.userbenchmark.com/SpeedTest/1931932/Unknown-F5-6000J3038F16G-2x16GB,RAM_0010,DDR5,32,6000,2,current_or_recent,medium,700000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-6000J3038F16GX2-TZ5N,G.SKILL,TZ/RJ/FX DDR5 6000 C30 2x16GB,4,225,26882,https://ram.userbenchmark.com/SpeedTest/1931932/Unknown-F5-6000J3038F16G-2x16GB,RAM_0011,DDR5,32,6000,2,current_or_recent,medium,700000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
